t,acc
35.15000000000009,10.742148
35.159615384615336,10.723014
35.169230769231035,10.6339855
35.17884615384628,10.663849
35.188461538461524,10.711777
35.198076923077224,10.6424
35.20769230769292,10.581256
35.21730769230771,10.626845
35.22600000000011,10.838047
35.23561538461536,10.987394
35.24523076923106,11.144574
35.2548461538463,11.38756
35.264461538461546,11.727095
35.274076923077246,12.063906
35.28369230769249,12.386716
35.293307692307735,12.680101
35.302999999999884,12.969703
35.31261538461513,13.395044
35.32223076923083,13.805171
35.33184615384607,14.230441
35.34146153846132,14.6324005
35.35107692307702,15.066903
35.36069230769226,15.538395
35.37030769230796,15.768157
35.378999999999905,15.8761215
35.38861538461515,15.875935
35.39823076923085,15.907596
35.407846153846094,15.855921
35.417461538460884,15.691864
35.42707692307704,15.428908
35.43669230769228,15.120134
35.44630769230798,14.84742
35.45399999999972,14.716262
35.46361538461497,14.423686
35.47323076923067,14.125796
35.48284615384591,13.835618
35.49246153846116,13.472598
35.50207692307686,13.150604
35.5116923076921,12.990272
35.521307692307346,12.71889
35.529999999999745,12.381155
35.53961538461499,11.973976
35.54923076923069,11.710984
35.558846153845934,11.371206
35.56846153846118,11.314686
35.57807692307688,11.216587
35.58769230769212,11.199582
35.59730769230737,10.873263
35.60599999999977,10.6965475
35.61561538461501,10.599654
35.62523076923071,10.558434
35.634846153845956,10.461811
35.6444615384612,10.348131
35.6540769230769,10.145115
35.66369230769169,10.048717
35.67330769230739,9.922135
35.68100000000004,9.693822
35.690615384615285,9.609135
35.700230769230984,9.471835
35.70984615384623,9.323417
35.71946153846147,9.175701
35.72907692307717,9.002397
35.73869230769242,8.804612
35.74830769230812,8.662869
35.75799999999981,8.579436
35.767615384615056,8.389967
35.777230769230755,8.242632
35.786846153846,8.083719
35.796461538461244,7.9234986
35.806076923076944,7.635186
35.81569230769219,7.46627
35.82530769230743,7.267168
35.83399999999983,6.9822655
35.84361538461508,6.8455815
35.85323076923078,6.73778
35.86284615384602,6.5169954
35.872461538461266,6.3080573
35.882076923076966,6.117486
35.89169230769221,5.995549
35.901307692307455,5.9790206
35.909999999999854,5.8932185
35.9196153846151,5.7619767
35.9292307692308,5.6149454
35.93884615384604,5.5594764
35.94846153846129,5.452464
35.95807692307699,5.228496
35.96769230769223,5.060286
35.97730769230793,4.9907517
35.98500000000013,4.856131
35.99461538461537,4.734469
36.00423076923107,4.630095
36.013846153846316,4.4574237
36.02346153846156,4.2918043
36.03307692307726,4.2673445
36.042692307692505,4.274633
36.05230769230775,4.308041
36.060999999999694,4.2648544
36.07061538461494,4.2637477
36.08023076923064,4.4582305
36.08984615384588,4.60495
36.09946153846113,4.7554297
36.10907692307683,4.9229407
36.11869230769207,5.2090073
36.12830769230732,5.447315
36.136999999999716,5.7133217
36.14661538461496,6.075542
36.15623076923066,6.3259306
36.165846153845905,6.6526575
36.175461538460695,6.996851
36.18507692307685,7.2943974
36.194692307692094,7.455521
36.20430769230734,7.6643343
36.21399999999994,7.925921
36.22361538461564,8.225204
36.233230769230886,8.5015745
36.24284615384613,8.757221
36.25246153846092,8.934837
36.262076923077075,9.056553
36.27169230769232,9.098923
36.28130769230802,9.159548
36.28899999999976,9.31963
36.298615384615005,9.427278
36.308230769230704,9.450147
36.31784615384595,9.560236
36.32746153846119,9.572649
36.33707692307689,9.639678
36.34669230769168,9.634896
36.35630769230738,9.603696
36.36499999999978,9.581265
36.374615384615026,9.530748
36.384230769230726,9.440631
36.39384615384597,9.343116
36.403461538461215,9.235878
36.413076923076915,9.150888
36.42269230769216,8.976238
36.432307692307404,8.866992
36.4409999999998,8.755238
36.45061538461505,8.63602
36.46023076923075,8.5663395
36.46984615384599,8.436236
36.47946153846124,8.36486
36.48907692307694,8.324875
36.49869230769218,8.3390045
36.508307692307426,8.338176
36.516999999999825,8.361516
36.52661538461507,8.387027
36.53623076923077,8.398383
36.545846153846014,8.417284
36.55546153846126,8.461919
36.56507692307696,8.4886265
36.5746923076922,8.482526
36.58430769230745,8.402497
36.59299999999985,8.404921
36.60261538461509,8.35266
36.61223076923079,8.349705
36.621846153846036,8.308894
36.63146153846128,8.199854
36.64107692307698,8.184506
36.650692307692225,8.103739
36.660307692307924,8.129351
36.66899999999987,8.099541
36.678615384615114,8.046545
36.68823076923081,7.9734287
36.69784615384606,7.978775
36.7074615384613,7.9138193
36.717076923077,7.830487
36.72669230769225,7.8356814
36.736307692307946,7.780483
36.74499999999989,7.7714224
36.754615384615136,7.696375
36.764230769230835,7.6337347
36.77384615384608,7.616119
36.783461538461324,7.6240554
36.793076923077024,7.6383796
36.80269230769227,7.6847115
36.81230769230797,7.6129746
36.82099999999991,7.6174684
36.83061538461561,7.6344438
36.84023076923086,7.7190714
36.8498461538461,7.758693
36.85946153846089,7.76122
36.869076923077046,7.709905
36.87869230769229,7.635831
36.88830769230799,7.6121335
36.89599999999973,7.522323
36.905615384614975,7.349461
36.915230769230675,7.250177
36.92484615384592,7.1700544
36.934461538461164,7.062586
36.944076923076864,6.935266
36.95369230769211,6.861106
36.96330769230735,6.8284802
36.97199999999975,6.8536234
36.981615384615,6.829905
36.9912307692307,6.7628284
37.00084615384594,6.656688
37.010461538461186,6.70584
37.020076923076886,6.707278
37.02969230769213,6.676718
37.039307692307375,6.648972
37.04899999999998,6.6462913
37.05861538461568,6.6806474
37.06823076923092,6.831251
37.07784615384617,6.8612323
37.08746153846096,6.9622097
37.09707692307711,6.970675
37.106692307692356,7.0948715
37.116307692308055,7.1812406
37.125,7.3018103
37.1346153846157,7.371032
37.144230769230944,7.375695
37.15384615384619,7.422676
37.16346153846098,7.450417
37.17307692307668,7.4583325
37.18269230769238,7.489616
37.19230769230808,7.403052
37.19999999999982,7.369636
37.20961538461506,7.383597
37.21923076923076,7.3506584
37.22884615384601,7.3442416
37.23846153846125,7.3288546
37.24807692307695,7.433189
37.257692307692196,7.5742598
37.26730769230744,7.644114
37.27599999999984,7.6938076
37.285615384615085,7.815027
37.295230769230784,7.994997
37.30484615384603,8.100152
37.31446153846127,8.183172
37.32407692307697,8.13678
37.33369230769222,8.270599
37.34330769230792,8.364696
37.35199999999986,8.352292
37.36161538461511,8.409404
37.371230769230806,8.496556
37.38084615384605,8.60057
37.390461538461295,8.651082
37.400076923076995,8.782782
37.40969230769224,8.9308605
37.41930769230794,9.098241
37.42900000000009,9.270326
37.43861538461533,9.450934
37.44823076923103,9.552626
37.457846153846276,9.65119
37.46746153846152,9.717933
37.47707692307722,9.721799
37.48669230769292,9.749042
37.49630769230771,9.680798
37.503999999999905,9.692059
37.51361538461515,9.729549
37.52323076923085,9.766472
37.532846153846094,9.651702
37.542461538460884,9.599165
37.55207692307704,9.605547
37.56169230769228,9.658291
37.57130769230798,9.741404
37.57999999999993,9.751611
37.58961538461563,9.75038
37.59923076923087,9.796071
37.608846153846116,9.781021
37.618461538460906,9.83057
37.62807692307706,9.905908
37.637692307692305,9.794489
37.647307692308004,9.781305
37.65599999999995,9.80548
37.66561538461565,9.871395
37.67523076923089,9.923095
37.68484615384614,9.982462
37.69446153846093,10.03088
37.70407692307708,10.183421
37.71369230769233,10.419357
37.723307692308026,10.591815
37.73099999999977,10.835185
37.74061538461501,11.154681
37.75023076923071,11.443692
37.759846153845956,11.799599
37.7694615384612,12.161512
37.7790769230769,12.508314
37.78869230769169,12.972448
37.79830769230739,13.325974
37.80699999999979,13.80237
37.816615384615034,14.30596
37.82623076923073,14.665276
37.83584615384598,14.86513
37.84546153846122,15.089732
37.85507692307692,15.300949
37.86469230769217,15.381926
37.87430769230741,15.2892
37.884000000000015,15.144116
37.893615384615714,15.014582
37.90323076923096,14.909443
37.9128461538462,14.715365
37.92246153846099,14.344987
37.93207692307669,13.9746275
