,t,acc
2147,20.374846153846192,13.756023
2148,20.384461538460982,14.025795
2149,20.39407692307668,14.278828
2150,20.40369230769238,14.534541
2151,20.41330769230808,14.7502985
2152,20.42299999999977,14.878933
2153,20.43261538461502,14.915613
2154,20.44223076923072,14.8856325
2155,20.451846153845963,14.812608
2156,20.461461538461208,14.720631
2157,20.471076923076907,14.522443
2158,20.480692307691697,14.210534
2159,20.4903076923074,13.908362
2160,20.498000000000047,13.538172
2161,20.50761538461529,13.016314
2162,20.51723076923099,12.690091
2163,20.52684615384624,12.268594
2164,20.53646153846148,12.007015
2165,20.54607692307718,11.704304
2166,20.555692307692425,11.540687
2167,20.565307692308124,11.4404
2168,20.57400000000007,11.184019
2169,20.583615384615317,10.980652
2170,20.593230769231013,10.981396
2171,20.602846153846254,10.888461
2172,20.612461538461503,10.806538
2173,20.6220769230772,10.691909
2174,20.631692307692447,10.590956
2175,20.64130769230769,10.4088335
2176,20.65000000000009,10.32027
2177,20.659615384615336,10.27279
2178,20.669230769231035,10.125427
2179,20.67884615384628,10.1209545
2180,20.688461538461524,9.989704
2181,20.698076923077224,9.907519
2182,20.707692307692923,9.775952
2183,20.717307692307717,9.619773
2184,20.726000000000116,9.453852
2185,20.73561538461536,9.356388
2186,20.745230769231057,9.285657
2187,20.7548461538463,9.158944
2188,20.764461538461543,9.089343
2189,20.77407692307725,9.041088
2190,20.78369230769249,8.756379
2191,20.79330769230773,8.650205
2192,20.80199999999968,8.465526
2193,20.811615384614925,8.256459
2194,20.821230769230624,8.041153
2195,20.83084615384587,7.8620906
2196,20.840461538461117,7.630902
2197,20.850076923076813,7.429657
2198,20.859692307692058,7.159994
2199,20.869307692307306,6.826342
2200,20.8779999999997,6.693338
2201,20.887615384614943,6.512677
2202,20.89723076923065,6.3347554
2203,20.90684615384589,6.1736073
2204,20.91646153846068,6.1525207
2205,20.926076923076835,6.040946
2206,20.93569230769208,5.9763093
2207,20.945307692307324,5.872683
2208,20.953999999999724,5.7744493
2209,20.963615384614968,5.7800345
2210,20.973230769230668,5.8960543
2211,20.982846153845912,5.8373194
2212,20.99246153846116,5.840435
